id,send_time,receive_time,difference
0,1687781185.6597457,1687781185.9969928,0.3372471332550049
1,1687781187.6652222,1687781192.1226492,4.457427024841309
2,1687781189.6654272,1687781198.238137,8.572709798812866
3,1687781191.6690154,1687781204.3859105,12.71689510345459
4,1687781193.675172,1687781209.6068645,15.931692361831665
5,1687781195.6859577,1687781214.647545,18.96158742904663
6,1687781197.689535,1687781220.767046,23.077511072158813
7,1687781199.701481,1687781226.8903651,27.188884019851685
8,1687781201.709089,1687781233.0144482,31.30535912513733
9,1687781203.717273,1687781239.130768,35.41349506378174
10,1687781205.7189183,1687781245.264506,39.54558777809143
11,1687781207.7305322,1687781251.3995547,43.66902256011963
12,1687781209.7398975,1687781257.522399,47.782501459121704
13,1687781211.7428434,1687781263.6732185,51.93037509918213
14,1687781213.7577531,1687781269.8016975,56.043944358825684
15,1687781215.7678006,1687781275.932583,60.16478252410889
16,1687781217.7748349,1687781282.0718029,64.29696798324585
17,1687781219.7837963,1687781288.1951797,68.41138339042664
18,1687781221.7915726,1687781294.3319557,72.54038310050964
19,1687781223.7981489,1687781300.532539,76.73439002037048
20,1687781225.8033042,1687781306.5955346,80.79223036766052
21,1687781227.8125594,1687781312.7300694,84.91751003265381
22,1687781229.821981,1687781318.8696702,89.04768919944763
23,1687781231.830546,1687781324.9973853,93.1668393611908
24,1687781233.8422022,1687781331.1364973,97.29429507255554
25,1687781235.8471704,1687781336.2602558,100.41308546066284
26,1687781237.8613515,1687781342.4091258,104.54777431488037
27,1687781239.8754058,1687781348.5355177,108.66011190414429
28,1687781241.8896663,1687781354.6756096,112.78594326972961
29,1687781243.894594,0.0,-1687781243.894594
30,1687781245.906705,1687781360.831541,114.92483615875244
31,1687781247.9166954,0.0,-1687781247.9166954
32,1687781249.9321792,0.0,-1687781249.9321792
33,1687781251.9344754,1687781366.9614282,115.02695274353027
34,1687781253.9469273,0.0,-1687781253.9469273
35,1687781255.9580088,0.0,-1687781255.9580088
36,1687781257.9676702,1687781373.0904765,115.12280631065369
37,1687781259.9752295,0.0,-1687781259.9752295
38,1687781261.986387,0.0,-1687781261.986387
39,1687781264.0018213,1687781379.2230265,115.22120523452759
40,1687781266.007717,0.0,-1687781266.007717
41,1687781268.0209205,0.0,-1687781268.0209205
42,1687781270.0314865,1687781385.3714488,115.33996224403381
43,1687781272.0417624,0.0,-1687781272.0417624
44,1687781274.047421,0.0,-1687781274.047421
45,1687781276.058848,1687781391.4952433,115.43639540672302
46,1687781278.0672295,0.0,-1687781278.0672295
47,1687781280.0764923,0.0,-1687781280.0764923
48,1687781282.0827937,1687781397.631698,115.54890418052673
49,1687781284.0931702,0.0,-1687781284.0931702
50,1687781286.1081388,0.0,-1687781286.1081388
51,1687781288.1183178,1687781403.7665129,115.64819502830505
52,1687781290.131933,0.0,-1687781290.131933
53,1687781292.138908,0.0,-1687781292.138908
54,1687781294.1500232,1687781409.896701,115.7466778755188
55,1687781296.16149,0.0,-1687781296.16149
56,1687781298.1706464,0.0,-1687781298.1706464
57,1687781300.1787508,1687781416.0377758,115.85902500152588
58,1687781302.1876347,0.0,-1687781302.1876347
59,1687781304.1928031,0.0,-1687781304.1928031
60,1687781306.2068472,0.0,-1687781306.2068472
61,1687781308.2137403,1687781422.1695452,113.9558048248291
62,1687781310.2252178,0.0,-1687781310.2252178
63,1687781312.234449,0.0,-1687781312.234449
64,1687781314.234584,1687781428.29764,114.06305599212646
65,1687781316.2506702,0.0,-1687781316.2506702
66,1687781318.2614565,0.0,-1687781318.2614565
67,1687781320.2735772,1687781434.4387982,114.16522097587585
68,1687781322.282241,0.0,-1687781322.282241
69,1687781324.2907107,0.0,-1687781324.2907107
70,1687781326.300496,1687781440.5691154,114.26861929893494
71,1687781328.3160117,0.0,-1687781328.3160117
72,1687781330.3228772,0.0,-1687781330.3228772
73,1687781332.3283887,1687781446.701121,114.37273240089417
74,1687781334.3417716,0.0,-1687781334.3417716
75,1687781336.3460772,1687781452.8377268,116.49164962768555
76,1687781338.3553617,0.0,-1687781338.3553617
77,1687781340.3694725,0.0,-1687781340.3694725
78,1687781342.3767848,1687781457.9696512,115.59286642074585
79,1687781344.3856268,0.0,-1687781344.3856268
80,1687781346.3956146,0.0,-1687781346.3956146
81,1687781348.4072,1687781464.1036582,115.69645810127258
82,1687781350.422121,0.0,-1687781350.422121
83,1687781352.430141,0.0,-1687781352.430141
84,1687781354.4378543,1687781470.2284737,115.79061937332153
85,1687781356.4462404,0.0,-1687781356.4462404
86,1687781358.4589453,0.0,-1687781358.4589453
87,1687781360.461958,0.0,-1687781360.461958
88,1687781362.4656727,1687781476.3698652,113.90419244766235
89,1687781364.4686272,0.0,-1687781364.4686272
90,1687781366.4816132,0.0,-1687781366.4816132
91,1687781368.4827983,1687781482.5236487,114.04085040092468
92,1687781370.4891267,0.0,-1687781370.4891267
93,1687781372.4912844,0.0,-1687781372.4912844
94,1687781374.5017009,1687781488.6552436,114.1535427570343
95,1687781376.5139675,0.0,-1687781376.5139675
96,1687781378.5271358,0.0,-1687781378.5271358
97,1687781380.5373666,1687781494.7904942,114.25312757492065
98,1687781382.5499964,0.0,-1687781382.5499964
99,1687781384.5607898,0.0,-1687781384.5607898
