id,send_time,receive_time,difference
0,1687773341.935698,1687773342.2965553,0.3608572483062744
1,1687773349.9417198,1687773350.2775483,0.3358285427093506
2,1687773357.950937,1687773358.281562,0.330625057220459
3,1687773365.9537897,1687773366.3048968,0.351107120513916
4,1687773373.9616797,1687773374.3354104,0.3737306594848633
5,1687773381.9651728,1687773382.3050196,0.3398468494415283
6,1687773389.976658,1687773390.3275812,0.3509230613708496
7,1687773397.9836545,1687773398.32075,0.3370954990386963
8,1687773405.99523,1687773406.3316822,0.3364522457122803
9,1687773414.0030513,1687773414.3369124,0.3338611125946045
10,1687773422.0153654,1687773422.3558018,0.3404364585876465
11,1687773430.025201,1687773430.3648531,0.33965206146240234
12,1687773438.0291548,1687773438.367936,0.33878111839294434
13,1687773446.031906,1687773446.3675904,0.33568453788757324
14,1687773454.0374155,1687773454.3992074,0.36179184913635254
15,1687773462.0466695,1687773462.3793364,0.33266687393188477
16,1687773470.0575984,1687773470.3994732,0.3418748378753662
17,1687773478.0576105,1687773478.4118028,0.35419225692749023
18,1687773486.067669,1687773486.4065394,0.3388705253601074
19,1687773494.0716562,1687773494.4085364,0.3368802070617676
20,1687773502.0794508,1687773502.4333277,0.35387682914733887
21,1687773510.0796776,1687773510.4179456,0.3382680416107178
22,1687773518.0885656,1687773518.4335644,0.344998836517334
23,1687773526.0939488,1687773526.4386663,0.34471750259399414
24,1687773534.102482,1687773534.451525,0.3490428924560547
25,1687773542.105235,1687773542.4466312,0.3413960933685303
26,1687773550.107593,1687773550.4551666,0.34757351875305176
27,1687773558.1098378,1687773558.462109,0.35227131843566895
28,1687773566.1251662,1687773566.4714055,0.3462393283843994
29,1687773574.1405923,1687773574.4785006,0.3379082679748535
30,1687773582.151716,1687773582.4900484,0.3383324146270752
31,1687773590.1558454,1687773590.5048995,0.34905409812927246
32,1687773598.1613526,1687773598.5085893,0.34723663330078125
33,1687773606.1773536,1687773606.5214574,0.3441038131713867
34,1687773614.189458,1687773614.552071,0.3626132011413574
35,1687773622.20328,1687773622.5526252,0.34934520721435547
36,1687773630.2093642,1687773630.5495207,0.34015655517578125
37,1687773638.2245796,1687773638.5695937,0.3450140953063965
38,1687773646.2374492,1687773646.586616,0.3491668701171875
39,1687773654.252242,1687773654.5919037,0.3396615982055664
40,1687773662.2632842,1687773662.6093626,0.34607839584350586
41,1687773670.2775564,1687773670.625291,0.3477346897125244
42,1687773678.2804751,1687773678.6223905,0.3419153690338135
43,1687773686.295324,1687773686.640355,0.3450310230255127
44,1687773694.308431,1687773694.6462235,0.33779263496398926
45,1687773702.3220725,1687773702.670535,0.3484625816345215
46,1687773710.3313525,1687773710.6644523,0.3330998420715332
47,1687773718.338477,1687773718.682568,0.34409117698669434
48,1687773726.3485682,1687773726.6892767,0.34070849418640137
49,1687773734.355919,1687773734.7005618,0.34464287757873535
50,1687773742.3586562,1687773742.6939597,0.33530354499816895
51,1687773750.3700857,1687773750.708285,0.3381993770599365
52,1687773758.374499,1687773758.715824,0.3413248062133789
53,1687773766.3831663,1687773766.7290564,0.3458900451660156
54,1687773774.3857296,1687773774.7211392,0.33540964126586914
55,1687773782.3991702,1687773782.7498665,0.350696325302124
56,1687773790.409244,1687773790.751782,0.34253787994384766
57,1687773798.4241807,1687773798.755527,0.3313462734222412
58,1687773806.4317064,1687773806.7748995,0.34319305419921875
59,1687773814.437824,1687773814.7764895,0.3386654853820801
60,1687773822.4425871,1687773822.778318,0.33573079109191895
61,1687773830.4460804,1687773830.7875412,0.3414607048034668
62,1687773838.4586184,1687773838.8097172,0.35109877586364746
63,1687773846.4706397,1687773846.8208642,0.35022449493408203
64,1687773854.4858572,1687773854.8298306,0.34397339820861816
65,1687773862.4891696,1687773862.826571,0.3374013900756836
66,1687773870.4947877,1687773870.8444974,0.34970974922180176
67,1687773878.5009618,1687773878.8486197,0.3476579189300537
68,1687773886.506465,1687773886.8461895,0.3397245407104492
69,1687773894.5141563,1687773894.8675606,0.35340428352355957
70,1687773902.5304146,1687773902.8777676,0.3473529815673828
71,1687773910.5313413,1687773910.882282,0.3509407043457031
72,1687773918.5385308,1687773918.8801725,0.3416416645050049
73,1687773926.553473,1687773926.89977,0.346297025680542
74,1687773934.5553586,1687773934.9002388,0.3448801040649414
75,1687773942.567664,1687773943.0222664,0.4546024799346924
76,1687773950.5776613,1687773950.9255106,0.34784936904907227
77,1687773958.5892053,1687773958.9264972,0.337291955947876
78,1687773966.5986228,1687773966.9427702,0.3441474437713623
79,1687773974.6144006,1687773974.967034,0.3526334762573242
80,1687773982.6287303,1687773982.9723675,0.34363722801208496
81,1687773990.6326904,1687773990.972119,0.3394286632537842
82,1687773998.6363933,1687773998.9811342,0.3447408676147461
83,1687774006.644988,1687774006.980875,0.33588695526123047
84,1687774014.6547146,1687774015.0067694,0.3520548343658447
