id,send_time,receive_time,difference
0,1687774238.435819,1687774238.7768655,0.3410465717315674
1,1687774244.446758,1687774244.938397,0.4916388988494873
2,1687774250.4485254,1687774251.1624382,0.7139127254486084
3,1687774256.4521334,1687774257.2574842,0.8053507804870605
4,1687774262.454742,1687774263.2703931,0.8156511783599854
5,1687774268.4650323,1687774268.808583,0.3435506820678711
6,1687774274.4803514,1687774274.9512622,0.47091078758239746
7,1687774280.481131,1687774281.188516,0.7073848247528076
8,1687774286.4903586,1687774287.183623,0.6932644844055176
9,1687774292.499657,1687774293.3183882,0.8187313079833984
10,1687774298.509785,1687774299.4421964,0.9324114322662354
11,1687774304.5161607,1687774305.574284,1.0581233501434326
12,1687774310.5195382,1687774311.707832,1.1882939338684082
13,1687774316.524353,1687774317.8381696,1.3138165473937988
14,1687774322.530162,1687774324.046397,1.5162348747253418
15,1687774328.5395577,1687774330.1568012,1.6172435283660889
16,1687774334.5475554,1687774336.242281,1.694725513458252
17,1687774340.563193,1687774342.4747157,1.911522626876831
18,1687774346.567685,1687774348.5829985,2.0153136253356934
19,1687774352.5786102,1687774354.6512566,2.072646379470825
20,1687774358.5906982,1687774360.893191,2.30249285697937
21,1687774364.596284,1687774366.9335685,2.337284564971924
22,1687774370.605271,1687774373.047497,2.442225933074951
23,1687774376.6150024,1687774379.220646,2.6056435108184814
24,1687774382.628622,1687774385.3206296,2.692007541656494
25,1687774388.6387355,1687774390.4517353,1.8129997253417969
26,1687774394.6546247,1687774395.5831523,0.9285275936126709
27,1687774400.6608982,1687774400.9978812,0.33698296546936035
28,1687774406.6643791,1687774407.1414554,0.47707629203796387
29,1687774412.6748588,1687774413.2730598,0.5982010364532471
30,1687774418.684733,1687774419.4094594,0.7247264385223389
31,1687774424.6931746,1687774425.5470634,0.853888750076294
32,1687774430.6971889,1687774431.7871175,1.0899286270141602
33,1687774436.7098465,1687774437.8139346,1.1040880680084229
34,1687774442.7233982,1687774443.9413395,1.2179412841796875
35,1687774448.726458,1687774450.086022,1.3595638275146484
36,1687774454.7278666,1687774456.2167366,1.4888699054718018
37,1687774460.7328837,1687774462.3507454,1.6178617477416992
38,1687774466.7432034,1687774468.4739654,1.730762004852295
39,1687774472.7455878,1687774474.61861,1.8730220794677734
40,1687774478.7509947,1687774480.7657728,2.0147781372070312
41,1687774484.7577744,1687774486.874308,2.1165337562561035
42,1687774490.7672336,1687774493.0196364,2.2524027824401855
43,1687774496.779157,1687774499.1508875,2.3717305660247803
44,1687774502.7910266,1687774505.2837484,2.4927217960357666
45,1687774508.7940114,1687774511.420365,2.6263537406921387
46,1687774514.8080225,1687774517.5524044,2.744381904602051
47,1687774520.8166225,1687774522.720938,1.90431547164917
48,1687774526.821892,1687774527.8149354,0.9930434226989746
49,1687774532.835489,1687774533.9478989,1.1124098300933838
50,1687774538.838495,1687774540.0783138,1.239818811416626
51,1687774544.8441775,1687774546.2116458,1.3674683570861816
52,1687774550.8468268,1687774552.3468504,1.500023603439331
53,1687774556.8528292,1687774558.478652,1.6258227825164795
54,1687774562.859898,1687774564.613592,1.7536938190460205
55,1687774568.861248,1687774570.7417006,1.8804526329040527
56,1687774574.8763318,1687774576.8849227,2.0085909366607666
57,1687774580.8829937,1687774583.0269797,2.1439859867095947
58,1687774586.8853805,1687774589.1699395,2.2845590114593506
59,1687774592.8968227,1687774595.275647,2.378824234008789
60,1687774598.911424,1687774601.5273523,2.6159284114837646
61,1687774604.9209125,1687774607.566483,2.6455705165863037
62,1687774610.9346938,1687774613.690801,2.7561070919036865
63,1687774616.9424102,1687774619.8171678,2.8747575283050537
64,1687774622.9484606,1687774625.9553823,3.0069217681884766
65,1687774628.954974,1687774632.1021335,3.1471595764160156
66,1687774634.9655762,1687774638.223251,3.2576749324798584
67,1687774640.969301,1687774644.3665411,3.397240161895752
68,1687774646.971993,1687774649.4924264,2.5204334259033203
69,1687774652.9728274,1687774655.6223547,2.6495273113250732
70,1687774658.9766874,1687774661.7663496,2.7896621227264404
71,1687774664.983122,1687774667.8987525,2.915630340576172
72,1687774670.9980805,1687774674.0256698,3.0275893211364746
73,1687774677.0018322,1687774680.158115,3.156282663345337
74,1687774683.014959,1687774686.2973988,3.282439708709717
