generation time,receive time,difference
1688560212,1688560286,74
1688560272,1688560366,94
1688560362,1688560446,84
1688560422,1688560525,103
1688560482,1688560606,124
1688560392,1688560687,295
1688560332,1688560768,436
1688560302,1688560848,546
1688560242,1688560929,687
