generation time,receive time,difference
1687944938,1687945011,73
1687944998,1687945091,93
1687945088,1687945171,83
1687945148,1687945251,103
1687945208,1687945331,123
1687945178,1687945411,233
1687945118,1687945490,372
1687945058,1687945571,513
1687945028,1687945651,623
1687944968,1687945732,764
