generation time,receive time,difference
1687942928,1687943000,72
1687943018,1687943090,72
1687943108,1687943182,74
1687943198,1687943271,73
1687943288,1687943364,76
1687943378,1687943452,74
1687943468,1687943541,73
1687943558,1687943631,73
1687943648,1687943722,74
1687943738,1687943811,73
