generation time,receive time,difference
1687959899,1687959973,74
1687960019,1687960092,73
1687960139,1687960213,74
1687960559,1687960633,74
1687960919,1687960993,74
1687961159,1687961233,74
1687961519,1687961592,73
1687961879,1687961953,74
1687962059,1687962133,74
1687962299,1687962374,75
