Tx Power,Data rate,Payload size,Average AOI
1,5,53,9.166666666666666
5,5,53,9.4
10,5,53,9.833333333333334
15,5,53,10.633333333333333
20,5,53,9.966666666666667
27,5,53,8.733333333333333
10,5,69,10.1
15,5,69,10.666666666666666
20,5,69,9.9
27,5,69,9.933333333333334
10,5,85,9.966666666666667
15,5,85,10.7
20,5,85,10.166666666666666
27,5,85,10.433333333333334
10,5,100,10.533333333333333
15,5,100,10.633333333333333
20,5,100,11.166666666666666
27,5,100,10.666666666666666
1,5,117,12.433333333333334
5,5,117,10.1
10,5,117,10.366666666666667
15,5,117,10.633333333333333
20,5,117,10.5
27,5,117,10.4
10,5,130,11.0
15,5,130,9.966666666666667
20,5,130,11.133333333333333
27,5,130,11.3
10,5,149,11.1
15,5,149,10.166666666666666
20,5,149,10.9
27,5,149,11.4
1,5,160,12.133333333333333
5,5,160,11.233333333333333
10,5,160,11.233333333333333
15,5,160,11.6
20,5,160,11.1
27,5,160,10.266666666666667
1,5,181,11.1
5,5,181,11.433333333333334
10,5,181,11.6
15,5,181,11.366666666666667
20,5,181,11.466666666666667
27,5,181,12.6
