Tx Power,Data rate,Payload size,Average AOI
10,0,1,10.066666666666666
15,0,1,8.733333333333333
20,0,1,8.7
27,0,1,9.5
10,1,1,8.366666666666667
15,1,1,9.333333333333334
20,1,1,9.066666666666666
10,1,1,8.366666666666667
15,1,1,9.333333333333334
20,1,1,9.066666666666666
27,1,1,8.066666666666666
10,2,1,8.166666666666666
15,2,1,7.866666666666666
20,2,1,8.366666666666667
27,2,1,9.033333333333333
10,3,1,8.233333333333333
15,3,1,8.066666666666666
20,3,1,8.8
27,3,1,8.2
10,4,1,8.133333333333333
15,4,1,7.6
20,4,1,8.966666666666667
27,4,1,8.0
10,5,1,8.366666666666667
15,5,1,10.0
20,5,1,8.666666666666666
27,5,1,8.133333333333333
10,2,2,8.0
15,2,2,9.066666666666666
20,2,2,12.333333333333334
27,2,2,10.233333333333333
10,3,2,8.5
15,3,2,8.833333333333334
20,3,2,7.933333333333334
27,3,2,9.0
