DR0,DR1,DR2,DR3,DR4,DR5
155,113,93,91,82,74
113,132,113,110,100,92
133,92,132,130,120,110
92,110,91,87,78,130
110,128,110,106,97,89
130,88,129,126,115,108
90,107,89,84,74,127
230,127,109,104,94,86
551,388,309,304,294,226
810,707,630,625,614,547
